date,price
26/1/2022,4.515
25/1/2022,4.45
24/1/2022,4.4125
21/1/2022,4.524
20/1/2022,4.5825
19/1/2022,4.47
18/1/2022,4.3825
14/1/2022,4.4205
13/1/2022,4.546
12/1/2022,4.5765
11/1/2022,4.429
10/1/2022,4.352
7/1/2022,4.41
6/1/2022,4.3545
5/1/2022,4.4135
4/1/2022,4.475
3/1/2022,4.4215
31/12/2021,4.4635
30/12/2021,4.3925
29/12/2021,4.413
28/12/2021,4.433
27/12/2021,4.472
23/12/2021,4.3925
22/12/2021,4.3915
21/12/2021,4.346
20/12/2021,4.2935
17/12/2021,4.295
16/12/2021,4.3045
15/12/2021,4.1825
14/12/2021,4.2575
13/12/2021,4.284
10/12/2021,4.2865
9/12/2021,4.333
8/12/2021,4.3935
7/12/2021,4.3395
6/12/2021,4.3375
3/12/2021,4.267
2/12/2021,4.299
1/12/2021,4.2475
30/11/2021,4.28
29/11/2021,4.341
26/11/2021,4.291
24/11/2021,4.4705
23/11/2021,4.424
22/11/2021,4.3965
19/11/2021,4.396
18/11/2021,4.305
17/11/2021,4.272
16/11/2021,4.3595
15/11/2021,4.403
12/11/2021,4.445
11/11/2021,4.3935
10/11/2021,4.323
9/11/2021,4.373
8/11/2021,4.399
5/11/2021,4.343
4/11/2021,4.3205
3/11/2021,4.321
2/11/2021,4.366
1/11/2021,4.3935
29/10/2021,4.368
28/10/2021,4.4385
27/10/2021,4.3895
26/10/2021,4.486
25/10/2021,4.528
22/10/2021,4.498
21/10/2021,4.5585
20/10/2021,4.7345
19/10/2021,4.703
18/10/2021,4.7255
15/10/2021,4.7295
14/10/2021,4.6315
13/10/2021,4.516
12/10/2021,4.3255
11/10/2021,4.3665
8/10/2021,4.2755
7/10/2021,4.2435
6/10/2021,4.1475
5/10/2021,4.1925
4/10/2021,4.2385
1/10/2021,4.1885
30/9/2021,4.089
29/9/2021,4.199
28/9/2021,4.2465
27/9/2021,4.2895
24/9/2021,4.2855
23/9/2021,4.231
22/9/2021,4.252
21/9/2021,4.126
20/9/2021,4.1145
17/9/2021,4.246
16/9/2021,4.2815
15/9/2021,4.4065
14/9/2021,4.321
13/9/2021,4.367
10/9/2021,4.452
9/9/2021,4.2855
8/9/2021,4.233
7/9/2021,4.2815
3/9/2021,4.334
2/9/2021,4.304
1/9/2021,4.278
31/8/2021,4.375
30/8/2021,4.3755
27/8/2021,4.332
26/8/2021,4.2595
25/8/2021,4.276
24/8/2021,4.2605
23/8/2021,4.221
20/8/2021,4.123
19/8/2021,4.0435
18/8/2021,4.12
17/8/2021,4.2045
16/8/2021,4.3215
13/8/2021,4.3915
12/8/2021,4.36
11/8/2021,4.3675
10/8/2021,4.354
9/8/2021,4.2895
6/8/2021,4.336
5/8/2021,4.348
4/8/2021,4.3325
3/8/2021,4.386
2/8/2021,4.433
30/7/2021,4.4825
29/7/2021,4.5235
28/7/2021,4.482
27/7/2021,4.5445
26/7/2021,4.585
23/7/2021,4.4
22/7/2021,4.3375
21/7/2021,4.272
20/7/2021,4.263
19/7/2021,4.2015
16/7/2021,4.306
15/7/2021,4.323
14/7/2021,4.2675
13/7/2021,4.307
12/7/2021,4.316
9/7/2021,4.3455
8/7/2021,4.2645
7/7/2021,4.3225
6/7/2021,4.251
2/7/2021,4.276
1/7/2021,4.236
30/6/2021,4.289
29/6/2021,4.2645
28/6/2021,4.2785
25/6/2021,4.2895
24/6/2021,4.305
23/6/2021,4.324
22/6/2021,4.219
21/6/2021,4.1845
18/6/2021,4.1635
17/6/2021,4.1855
16/6/2021,4.391
15/6/2021,4.341
14/6/2021,4.527
11/6/2021,4.5375
10/6/2021,4.485
9/6/2021,4.531
8/6/2021,4.556
7/6/2021,4.5265
4/6/2021,4.529
3/6/2021,4.463
2/6/2021,4.5915
1/6/2021,4.6535
28/5/2021,4.6775
27/5/2021,4.663
26/5/2021,4.5295
25/5/2021,4.5065
24/5/2021,4.5255
21/5/2021,4.481
20/5/2021,4.568
19/5/2021,4.5765
18/5/2021,4.7255
17/5/2021,4.7115
14/5/2021,4.6545
13/5/2021,4.6905
12/5/2021,4.736
11/5/2021,4.762
10/5/2021,4.716
7/5/2021,4.7485
6/5/2021,4.6025
5/5/2021,4.524
4/5/2021,4.5215
3/5/2021,4.5285
30/4/2021,4.468
29/4/2021,4.4865
28/4/2021,4.4975
27/4/2021,4.4855
26/4/2021,4.4445
23/4/2021,4.341
22/4/2021,4.2795
21/4/2021,4.2875
20/4/2021,4.221
19/4/2021,4.245
16/4/2021,4.168
15/4/2021,4.2185
14/4/2021,4.1285
13/4/2021,4.0315
12/4/2021,4.0185
9/4/2021,4.04
8/4/2021,4.0945
7/4/2021,4.0545
6/4/2021,4.1165
5/4/2021,4.1375
1/4/2021,3.9905
31/3/2021,3.9955
30/3/2021,3.9785
29/3/2021,4.0345
26/3/2021,4.068
25/3/2021,3.978
24/3/2021,4.064
23/3/2021,4.0795
22/3/2021,4.1395
19/3/2021,4.113
18/3/2021,4.108
17/3/2021,4.119
16/3/2021,4.0715
15/3/2021,4.1405
12/3/2021,4.14
11/3/2021,4.139
10/3/2021,4.0325
9/3/2021,4.0085
8/3/2021,4.093
5/3/2021,4.0755
4/3/2021,3.9785
3/3/2021,4.142
2/3/2021,4.222
1/3/2021,4.113
26/2/2021,4.0925
25/2/2021,4.2635
24/2/2021,4.304
23/2/2021,4.1875
22/2/2021,4.149
19/2/2021,4.0775
18/2/2021,3.907
17/2/2021,3.8255
16/2/2021,3.834
12/2/2021,3.788
11/2/2021,3.7715
10/2/2021,3.7725
9/2/2021,3.72
8/2/2021,3.666
5/2/2021,3.626
4/2/2021,3.553
3/2/2021,3.5655
2/2/2021,3.5245
1/2/2021,3.546
29/1/2021,3.556
28/1/2021,3.578
27/1/2021,3.5575
26/1/2021,3.6195
25/1/2021,3.6295
22/1/2021,3.626
21/1/2021,3.6475
20/1/2021,3.6415
19/1/2021,3.6335
15/1/2021,3.602
14/1/2021,3.6645
13/1/2021,3.617
12/1/2021,3.6055
